<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ICP,D,20140207,000000,4.9247,4.9532,4.8011,4.9532,477,0
ICP,D,20140210,000000,4.9437,4.9437,4.8011,4.8011,73,0
ICP,D,20140213,000000,4.8581,5.0578,4.7535,4.7535,416,0
ICP,D,20140214,000000,4.8296,4.9532,4.8296,4.9532,105,0
ICP,D,20140217,000000,4.9532,4.9532,4.9437,4.9532,207,0
ICP,D,20140218,000000,4.9532,4.9532,4.8962,4.8962,116,0
ICP,D,20140219,000000,4.8296,4.8296,4.6585,4.6585,27,0
ICP,D,20140221,000000,4.6585,4.6585,4.5539,4.6585,636,0
ICP,D,20140224,000000,4.6015,4.6015,4.6015,4.6015,5,0
ICP,D,20140225,000000,4.5349,4.5349,4.5349,4.5349,5,0
ICP,D,20140226,000000,4.4683,4.4683,4.4683,4.4683,10,0
ICP,D,20140227,000000,4.5635,4.5635,4.5635,4.5635,10,0
ICP,D,20140228,000000,4.4683,4.4683,4.4683,4.4683,2,0
ICP,D,20140303,000000,4.744,4.8866,4.744,4.8866,399,0
ICP,D,20140304,000000,4.8866,4.8866,4.8866,4.8866,3,0
ICP,D,20140305,000000,5.1149,5.1149,5.1149,5.1149,352,0
ICP,D,20140306,000000,5.1149,5.1149,5.1149,5.1149,5,0
ICP,D,20140307,000000,5.1338,5.1338,5.1338,5.1338,2,0
ICP,D,20140310,000000,5.1338,5.1338,5.0864,5.0864,4,0
ICP,D,20140311,000000,5.0388,5.0388,5.0388,5.0388,8,0
ICP,D,20140312,000000,5.0388,5.0388,4.6585,4.6585,354,0
ICP,D,20140313,000000,4.6585,4.6585,4.6585,4.6585,2,0
ICP,D,20140314,000000,4.592,4.592,4.592,4.592,10,0
ICP,D,20140319,000000,4.5635,4.5635,4.5635,4.5635,10,0
ICP,D,20140320,000000,4.5159,4.5159,4.5159,4.5159,5,0
ICP,D,20140324,000000,4.592,4.7061,4.592,4.7061,421,0
ICP,D,20140325,000000,3.7648,3.7648,3.7648,3.7648,240,0
ICP,D,20140327,000000,3.7648,3.7648,3.7648,3.7648,5,0
ICP,D,20140331,000000,3.7744,3.7744,3.7744,3.7744,5,0
ICP,D,20140403,000000,3.7648,3.7648,3.7648,3.7648,5,0
ICP,D,20140404,000000,3.7648,3.7648,3.7648,3.7648,5,0
ICP,D,20140407,000000,3.7648,3.7648,3.7648,3.7648,3,0
ICP,D,20140408,000000,3.7648,3.7648,3.7648,3.7648,4,0
ICP,D,20140410,000000,3.7648,3.7648,3.7648,3.7648,3,0
ICP,D,20140411,000000,3.7648,3.7648,3.7648,3.7648,4,0
ICP,D,20140414,000000,3.7648,3.7648,3.7648,3.7648,3,0
ICP,D,20140415,000000,3.7648,3.7648,3.7648,3.7648,5,0
ICP,D,20140416,000000,3.7744,3.7744,3.7553,3.7553,121,0
ICP,D,20140506,000000,3.8504,4.031,3.8504,4.031,105,0
ICP,D,20140507,000000,4.031,4.031,4.031,4.031,369,0
ICP,D,20140512,000000,4.031,4.031,4.031,4.031,138,0
ICP,D,20140515,000000,4.031,4.031,4.031,4.031,1,0
ICP,D,20140603,000000,4.3733,4.3733,4.3733,4.3733,22,0
ICP,D,20140605,000000,4.2021,4.2021,4.1166,4.1166,527,0
ICP,D,20140610,000000,4.1547,4.1547,4.1547,4.1547,10,0
ICP,D,20140611,000000,4.2306,4.6585,4.2306,4.6585,421,0
ICP,D,20140616,000000,4.6585,4.6585,4.3733,4.3733,369,0
ICP,D,20140618,000000,4.6585,4.6585,4.6585,4.6585,411,0
ICP,D,20140620,000000,4.6585,4.6585,4.6585,4.6585,5,0
ICP,D,20140630,000000,4.7366,4.8343,4.7366,4.8343,20,0
ICP,D,20140701,000000,4.8343,4.8343,4.8343,4.8343,5,0
ICP,D,20140702,000000,4.8343,4.8343,4.8343,4.8343,3,0
ICP,D,20140703,000000,4.8343,4.8343,4.8343,4.8343,10,0
ICP,D,20140704,000000,4.8343,4.8343,4.8343,4.8343,105,0
ICP,D,20140707,000000,4.8343,4.8343,4.8343,4.8343,5,0
ICP,D,20140708,000000,4.8343,4.8343,4.8343,4.8343,5,0
ICP,D,20140709,000000,4.8343,4.8343,4.8343,4.8343,5,0
ICP,D,20140710,000000,4.8343,4.8343,4.8343,4.8343,5,0
ICP,D,20140711,000000,4.7855,4.7855,4.7855,4.7855,5,0
ICP,D,20140714,000000,4.7855,4.7855,4.7855,4.7855,5,0
ICP,D,20140715,000000,4.7855,4.7855,4.7855,4.7855,3,0
ICP,D,20140716,000000,4.8343,4.8343,4.8343,4.8343,5,0
ICP,D,20140717,000000,4.8343,4.8343,4.8343,4.8343,5,0
ICP,D,20140718,000000,4.7855,4.7855,4.7855,4.7855,5,0
ICP,D,20140721,000000,4.7855,4.7855,4.7855,4.7855,3,0
ICP,D,20140722,000000,4.7855,4.7855,4.7855,4.7855,3,0
ICP,D,20140723,000000,4.7855,4.7855,4.7855,4.7855,5,0
ICP,D,20140724,000000,4.7855,4.7855,4.7855,4.7855,3,0
ICP,D,20140725,000000,4.7855,4.7855,4.7855,4.7855,3,0
ICP,D,20140728,000000,4.8343,4.8343,4.8343,4.8343,6,0
ICP,D,20140729,000000,4.8343,4.8343,4.8343,4.8343,5,0
ICP,D,20140730,000000,4.8343,4.8343,4.8343,4.8343,5,0
ICP,D,20140731,000000,4.8343,4.8343,4.8343,4.8343,5,0
ICP,D,20140801,000000,4.7855,4.7855,4.7855,4.7855,3,0
ICP,D,20140804,000000,4.7855,4.7855,4.7855,4.7855,3,0
ICP,D,20140805,000000,4.7855,4.7855,4.7855,4.7855,5,0
ICP,D,20140806,000000,4.7855,4.7855,4.7855,4.7855,3,0
ICP,D,20140807,000000,4.7855,4.7855,4.7855,4.7855,5,0
ICP,D,20140808,000000,4.7855,4.7855,4.7855,4.7855,5,0
ICP,D,20140811,000000,4.8343,4.8343,4.8343,4.8343,3,0
ICP,D,20140812,000000,4.8343,4.8343,4.8343,4.8343,4,0
ICP,D,20140813,000000,4.8343,4.8343,4.8343,4.8343,3,0
ICP,D,20140814,000000,4.8343,4.8343,4.8343,4.8343,3,0
ICP,D,20140818,000000,4.8343,4.8343,4.8343,4.8343,3,0
ICP,D,20140819,000000,4.8343,4.8343,4.8343,4.8343,5,0
ICP,D,20140820,000000,4.8343,4.8343,4.8343,4.8343,3,0
ICP,D,20140821,000000,4.8343,4.8343,4.8343,4.8343,3,0
ICP,D,20140822,000000,4.8343,4.8343,4.8343,4.8343,3,0
ICP,D,20140825,000000,4.8343,4.8343,4.8343,4.8343,3,0
ICP,D,20140826,000000,4.8343,4.8343,4.8343,4.8343,5,0
ICP,D,20140901,000000,4.7855,4.7855,4.7855,4.7855,3,0
ICP,D,20140902,000000,4.7855,4.7855,4.7855,4.7855,2,0
ICP,D,20140903,000000,4.7855,4.7855,4.7855,4.7855,3,0
ICP,D,20140904,000000,4.7855,4.7855,4.7855,4.7855,3,0
ICP,D,20140905,000000,4.7855,4.7855,4.7855,4.7855,3,0
