<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECA,D,20160414,000000,1.1459,1.1459,1.0344,1.1459,2627,0
ECA,D,20160415,000000,1.1061,1.1299,1.1061,1.1299,654,0
ECA,D,20160418,000000,1.1299,1.1617,1.1299,1.1617,9802,0
ECA,D,20160419,000000,1.1459,1.1459,1.1459,1.1459,25,0
ECA,D,20160420,000000,1.1459,1.1459,1.1459,1.1459,25,0
ECA,D,20160421,000000,1.1459,1.1459,1.0344,1.1459,6762,0
ECA,D,20160422,000000,1.122,1.122,1.122,1.122,38,0
ECA,D,20160425,000000,1.122,1.1379,1.122,1.1379,596,0
ECA,D,20160426,000000,1.1379,1.1459,1.1379,1.1459,4404,0
ECA,D,20160427,000000,1.1459,1.1459,1.1459,1.1459,25,0
ECA,D,20160428,000000,1.1459,1.1459,1.1459,1.1459,25,0
ECA,D,20160429,000000,1.1459,1.1459,1.1459,1.1459,25,0
ECA,D,20160502,000000,1.1459,1.1459,1.1459,1.1459,25,0
ECA,D,20160504,000000,1.1459,1.1459,1.1459,1.1459,25,0
ECA,D,20160505,000000,1.1459,1.1538,1.1459,1.1538,1282,0
ECA,D,20160506,000000,1.1459,1.1459,1.1459,1.1459,25,0
ECA,D,20160509,000000,1.1459,1.1459,1.1459,1.1459,25,0
ECA,D,20160510,000000,1.1459,1.1459,1.1459,1.1459,13,0
ECA,D,20160511,000000,1.1459,1.1459,1.1459,1.1459,13,0
ECA,D,20160512,000000,1.1459,1.1459,1.1459,1.1459,13,0
ECA,D,20160513,000000,1.1459,1.1459,1.1459,1.1459,19,0
ECA,D,20160516,000000,1.1459,1.1538,1.1459,1.1538,2274,0
ECA,D,20160517,000000,1.1459,1.1538,1.1459,1.1538,1658,0
ECA,D,20160518,000000,1.1459,1.1538,1.1459,1.1538,6306,0
ECA,D,20160519,000000,1.1538,1.1538,1.1538,1.1538,13,0
ECA,D,20160520,000000,1.114,1.1538,1.0583,1.1538,6902,0
ECA,D,20160523,000000,1.1538,1.1538,1.0821,1.1538,3857,0
ECA,D,20160524,000000,1.1538,1.1538,1.1538,1.1538,25,0
ECA,D,20160525,000000,1.1538,1.2254,1.1538,1.2254,31380,0
ECA,D,20160527,000000,1.2095,1.2095,1.2095,1.2095,13,0
ECA,D,20160530,000000,1.2095,1.2095,1.2095,1.2095,25,0
ECA,D,20160531,000000,1.2095,1.2095,1.2095,1.2095,25,0
ECA,D,20160601,000000,1.2015,1.2095,1.1936,1.2095,6938,0
ECA,D,20160602,000000,1.2015,1.2015,1.2015,1.2015,49,0
ECA,D,20160603,000000,1.2015,1.2015,1.1936,1.1936,2539,0
ECA,D,20160606,000000,1.2015,1.2015,1.1538,1.1857,16647,0
ECA,D,20160607,000000,1.1857,1.1857,1.1538,1.1697,7414,0
ECA,D,20160608,000000,1.1697,1.1697,1.1697,1.1697,4110,0
ECA,D,20160609,000000,1.1538,1.1697,1.1538,1.1697,378,0
ECA,D,20160610,000000,1.1697,1.1697,1.1697,1.1697,313,0
ECA,D,20160613,000000,1.1697,1.1857,1.1697,1.1777,14897,0
ECA,D,20160614,000000,1.1777,1.2015,1.1459,1.2015,6563,0
ECA,D,20160615,000000,1.2015,1.2015,1.1538,1.1936,2030,0
ECA,D,20160616,000000,1.1857,1.1857,1.1857,1.1857,25,0
ECA,D,20160617,000000,1.1777,1.1777,1.1538,1.1777,887,0
ECA,D,20160620,000000,1.1777,1.1777,1.1777,1.1777,25,0
ECA,D,20160621,000000,1.1538,1.1538,1.1538,1.1538,125,0
ECA,D,20160622,000000,1.1617,1.1617,1.1061,1.1061,5743,0
ECA,D,20160623,000000,1.1061,1.1538,1.1061,1.1538,3958,0
ECA,D,20160627,000000,1.1379,1.1379,1.0663,1.1379,1360,0
ECA,D,20160628,000000,1.1379,1.1379,1.1379,1.1379,49,0
