<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOV,D,20200416,000000,49.2,53.6,47.5,53.6,38567,0
MOV,D,20200417,000000,65,71,59,66,117042,0
MOV,D,20200420,000000,67.6,67.8,56.8,60,121414,0
MOV,D,20200421,000000,60,60.6,53.6,56.8,46191,0
MOV,D,20200422,000000,57.2,65,56,63,51803,0
MOV,D,20200423,000000,63,65,60.4,61,29553,0
MOV,D,20200424,000000,60.2,60.2,55,59,29855,0
MOV,D,20200427,000000,58.8,59.4,56.4,58,30863,0
MOV,D,20200428,000000,60,60.4,57,58,18341,0
MOV,D,20200429,000000,58,58.2,54.6,57.8,12141,0
MOV,D,20200430,000000,57.2,57.6,55.8,57.6,8378,0
MOV,D,20200504,000000,57.8,60,55,58.6,17750,0
MOV,D,20200505,000000,58.8,59.4,57,58,7536,0
MOV,D,20200506,000000,58,58.4,55.2,56.2,8612,0
MOV,D,20200507,000000,58,63.2,56.2,63.2,21136,0
MOV,D,20200508,000000,64.2,65,60.6,61.8,13344,0
MOV,D,20200511,000000,62,65,62,63.2,8117,0
MOV,D,20200512,000000,63.6,64,61.6,63.4,6864,0
MOV,D,20200513,000000,63.2,63.8,61,62.8,2669,0
MOV,D,20200514,000000,63,63,56,58.6,14531,0
MOV,D,20200515,000000,59,61.8,59,60,4952,0
MOV,D,20200518,000000,59.8,61,57.4,60.4,9788,0
MOV,D,20200519,000000,62.8,62.8,59.8,60.2,3007,0
MOV,D,20200520,000000,59,63,58,61,15343,0
MOV,D,20200521,000000,62,62.2,60.6,62,7193,0
MOV,D,20200522,000000,61.8,63,61,63,15614,0
MOV,D,20200525,000000,63,63.6,62,63.4,16572,0
MOV,D,20200526,000000,63.6,70.6,63.2,69.6,42719,0
MOV,D,20200527,000000,70.8,74.4,66.2,69,41200,0
MOV,D,20200528,000000,69.8,71.8,67.4,71.8,15361,0
MOV,D,20200529,000000,72,72.8,70,71.4,2494,0
MOV,D,20200601,000000,71.4,71.8,70,71,4162,0
MOV,D,20200602,000000,71,74,69.2,71,11920,0
MOV,D,20200603,000000,71.8,71.8,69.8,70.8,7515,0
MOV,D,20200604,000000,71.6,71.6,70.4,70.8,4712,0
MOV,D,20200605,000000,70.6,70.6,67,70.6,9729,0
MOV,D,20200608,000000,70.4,70.4,68.6,69.6,7957,0
MOV,D,20200609,000000,69,70.4,68.2,70.2,9101,0
MOV,D,20200610,000000,70,81.2,69.4,80,18742,0
MOV,D,20200612,000000,75.6,89.8,75.6,89,28468,0
MOV,D,20200615,000000,90,92.4,81.8,86.8,13810,0
MOV,D,20200616,000000,87,88.8,84,87.4,10663,0
MOV,D,20200617,000000,87.2,89.6,85,88,5965,0
MOV,D,20200618,000000,88.2,88.2,84.4,87.2,16316,0
MOV,D,20200619,000000,86,87.4,84,84,8517,0
MOV,D,20200622,000000,85,87.8,84.2,87,7177,0
MOV,D,20200623,000000,88.2,93.4,84,91,19249,0
MOV,D,20200624,000000,92,98.8,89,97.2,15800,0
MOV,D,20200625,000000,96.8,103.5,95,100,15993,0
MOV,D,20200626,000000,103,105,96,97,11827,0
MOV,D,20200629,000000,95,100,93.2,99.8,8117,0
MOV,D,20200630,000000,100.5,100.5,95,96,6657,0
MOV,D,20200701,000000,97,98.4,95,98.4,2839,0
MOV,D,20200702,000000,97.2,104,97,102,8529,0
MOV,D,20200703,000000,103,104,99,101.5,4639,0
MOV,D,20200706,000000,101.5,105.5,97,103,10720,0
MOV,D,20200707,000000,105,105.5,100,103,5400,0
MOV,D,20200708,000000,102,104,101,104,5119,0
MOV,D,20200709,000000,105,105.5,101,105,5538,0
MOV,D,20200710,000000,105,105,101,105,3669,0
MOV,D,20200713,000000,105,123,105,123,18478,0
MOV,D,20200714,000000,124,129,115,116,13917,0
MOV,D,20200715,000000,119,123.5,115,120,7580,0
MOV,D,20200716,000000,121.5,126,116.5,119.5,8347,0
MOV,D,20200717,000000,120,120,116,119.5,5478,0
MOV,D,20200720,000000,120,120,111,115,17311,0
