<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VRB,D,20150511,000000,7.6377,7.6377,7.6377,7.6377,65,0
VRB,D,20150512,000000,7.5647,7.5647,7.5647,7.5647,10,0
VRB,D,20150513,000000,7.5283,7.5283,7.5283,7.5283,21,0
VRB,D,20150514,000000,7.4279,7.4279,6.1594,7.1175,1383,0
VRB,D,20150515,000000,8.0758,9.1249,6.8439,9.1249,6996,0
VRB,D,20150518,000000,8.6688,8.6688,8.0758,8.2125,270,0
VRB,D,20150519,000000,8.2125,8.2125,7.3913,8.2125,193,0
VRB,D,20150520,000000,8.2125,8.2125,8.2125,8.2125,2,0
VRB,D,20150521,000000,8.3951,8.3951,8.3951,8.3951,10,0
VRB,D,20150522,000000,8.3951,8.3951,8.3951,8.3951,657,0
VRB,D,20150525,000000,7.7563,7.7563,7.7563,7.7563,21,0
VRB,D,20150526,000000,8.0302,8.0302,8.0302,8.0302,10,0
VRB,D,20150527,000000,7.665,7.665,7.665,7.665,10,0
VRB,D,20150528,000000,7.665,7.665,7.665,7.665,10,0
VRB,D,20150529,000000,7.665,7.665,7.665,7.665,5,0
VRB,D,20150601,000000,7.5738,8.6597,6.3875,8.4863,680,0
VRB,D,20150602,000000,8.4863,8.4863,7.3002,8.2125,400,0
VRB,D,20150603,000000,8.2125,8.2125,8.2125,8.2125,5,0
VRB,D,20150605,000000,8.1215,8.1215,6.5245,8.1215,251,0
VRB,D,20150608,000000,8.1215,8.1215,8.1215,8.1215,7,0
VRB,D,20150609,000000,8.1215,8.1215,6.4971,8.0302,1501,0
VRB,D,20150610,000000,8.1215,8.1215,6.4971,7.8931,1863,0
VRB,D,20150611,000000,7.8931,7.8931,6.3875,7.7472,1321,0
VRB,D,20150612,000000,7.5738,7.7563,6.8439,7.7563,631,0
VRB,D,20150615,000000,7.8019,7.8019,6.8439,7.3913,794,0
VRB,D,20150616,000000,7.3913,7.3913,6.6613,7.3458,675,0
VRB,D,20150617,000000,7.3458,7.3458,7.3458,7.3458,5,0
VRB,D,20150618,000000,7.3458,7.7289,6.6613,7.7289,23414,0
VRB,D,20150619,000000,7.3002,7.3002,6.9806,7.2911,30530,0
VRB,D,20150622,000000,7.1998,7.1998,6.8985,7.1448,23803,0
VRB,D,20150623,000000,6.9351,7.3458,6.8439,7.3458,574,0
VRB,D,20150624,000000,6.3875,7.3274,6.3875,7.1175,1057,0
VRB,D,20150625,000000,7.0992,7.3002,6.3875,7.3002,1611,0
VRB,D,20150626,000000,7.3002,7.3002,7.3002,7.3002,10,0
VRB,D,20150629,000000,7.5921,7.5921,7.0263,7.0263,1217,0
VRB,D,20150630,000000,7.0263,7.0263,7.0263,7.0263,10,0
VRB,D,20150701,000000,7.0263,7.0263,6.5701,6.5701,21,0
VRB,D,20150702,000000,6.8439,7.4826,6.8439,7.4826,296,0
VRB,D,20150703,000000,7.5921,8.3951,7.5647,8.2036,4746,0
VRB,D,20150706,000000,8.167,8.3951,7.3458,7.3458,1002,0
VRB,D,20150709,000000,7.3458,7.3458,7.1175,7.1175,39,0
VRB,D,20150710,000000,7.4826,7.665,7.1175,7.3458,690,0
VRB,D,20150713,000000,7.4826,7.4826,6.4788,6.6157,409,0
VRB,D,20150714,000000,6.3875,6.707,6.2051,6.707,2276,0
VRB,D,20150717,000000,6.707,6.707,5.9313,6.5518,2225,0
VRB,D,20150720,000000,5.9313,5.9313,5.4751,5.5207,1109,0
VRB,D,20150721,000000,5.5207,5.5207,5.0189,5.0189,828,0
VRB,D,20150722,000000,5.4751,6.3875,4.5625,5.5572,6309,0
VRB,D,20150723,000000,5.4841,5.913,4.5717,5.4751,686,0
VRB,D,20150727,000000,5.1101,5.1101,5.1101,5.1101,10,0
VRB,D,20150728,000000,5.1557,5.4751,5.1557,5.4294,622,0
VRB,D,20150729,000000,5.4751,5.5846,4.5625,5.2926,968,0
VRB,D,20150730,000000,5.2013,5.2926,4.5625,5.1101,471,0
VRB,D,20150731,000000,5.1101,5.1101,5.1101,5.1101,5,0
VRB,D,20150803,000000,5.101,5.101,4.5625,4.8362,99,0
VRB,D,20150804,000000,4.9275,5.5572,4.8362,4.8362,209,0
VRB,D,20150805,000000,5.1101,5.1101,4.8362,4.8362,54,0
VRB,D,20150806,000000,4.8362,4.8362,4.5625,4.5625,15,0
VRB,D,20150807,000000,5.4163,5.9672,4.8656,4.8656,263,0
VRB,D,20150810,000000,5.7743,5.7743,5.3245,5.3245,807,0
VRB,D,20150811,000000,5.7376,5.7376,5.5081,5.5081,702,0
VRB,D,20150812,000000,4.5993,5.4163,4.5901,5.0491,3050,0
VRB,D,20150813,000000,5.0491,5.2328,4.5901,5.0399,1656,0
VRB,D,20150814,000000,4.9481,4.9481,4.9481,4.9481,10,0
VRB,D,20150817,000000,4.9114,4.9114,4.9114,4.9114,10,0
VRB,D,20150818,000000,4.7737,4.7737,4.6543,4.6543,262,0
VRB,D,20150821,000000,4.4799,4.9573,4.4799,4.6819,578,0
VRB,D,20150824,000000,4.9481,4.9481,4.3147,4.838,980,0
VRB,D,20150825,000000,4.838,4.838,4.3147,4.7461,235,0
VRB,D,20150826,000000,4.7461,4.7461,4.3147,4.7461,513,0
VRB,D,20150827,000000,4.6819,4.6819,4.3605,4.636,184,0
VRB,D,20150828,000000,4.6268,4.6268,4.6268,4.6268,10,0
VRB,D,20150831,000000,4.838,4.838,4.5901,4.7645,718,0
VRB,D,20150901,000000,4.6819,4.6819,4.6819,4.6819,10,0
VRB,D,20150902,000000,4.6819,4.6819,4.6819,4.6819,10,0
VRB,D,20150903,000000,4.6819,4.6819,4.6819,4.6819,42,0
VRB,D,20150904,000000,4.6727,4.6727,4.6727,4.6727,10,0
VRB,D,20150907,000000,4.6727,4.6727,4.6727,4.6727,10,0
VRB,D,20150908,000000,4.6727,4.6727,4.6727,4.6727,10,0
VRB,D,20150909,000000,4.5901,4.5901,4.5901,4.5901,10,0
VRB,D,20150910,000000,4.5901,4.5901,4.5901,4.5901,21,0
VRB,D,20150911,000000,4.5901,4.5901,4.5901,4.5901,5,0
VRB,D,20150914,000000,4.5901,4.6727,4.5901,4.5901,49,0
VRB,D,20150915,000000,4.5901,4.5901,4.5901,4.5901,10,0
VRB,D,20150916,000000,4.5901,4.6727,4.5901,4.6727,34,0
VRB,D,20150917,000000,4.6727,4.6727,4.4984,4.4984,21,0
VRB,D,20150918,000000,4.4984,4.4984,4.0393,4.0393,310,0
VRB,D,20150921,000000,4.1311,4.1311,4.1311,4.1311,65,0
VRB,D,20150922,000000,4.0393,4.0393,3.8833,3.8833,648,0
VRB,D,20150923,000000,3.7639,3.7639,3.6721,3.6721,106,0
VRB,D,20151006,000000,3.5803,3.5803,3.3967,3.3967,866,0
VRB,D,20151007,000000,3.3967,3.3967,3.3967,3.3967,184,0
VRB,D,20151008,000000,3.2589,3.2589,2.7541,2.7541,1068,0
VRB,D,20151009,000000,2.7541,2.7541,2.7541,2.7541,707,0
VRB,D,20151012,000000,2.7541,2.7541,2.5704,2.5704,555,0
VRB,D,20151014,000000,2.1298,2.2951,2.1298,2.1573,544,0
VRB,D,20151015,000000,2.1573,2.1573,2.1573,2.1573,34,0
